"nursery","date","species","batch_id","batch_id2","volume","calliper300","rcd","height_m","sizeindex","logSI","logvol","logH","logD","logRCD","climate_region"
"dph","2016-08-10","syzygium_armstrongii","sa_3","sa_3-syzygium_armstrongii",100,31.28,43.18,2.935,91.8068,1.96287484997144,2,0.467608105583633,1.49526674438781,1.63528263799821,"Northern Territory"
"dph","2016-08-10","syzygium_armstrongii","sa_3","sa_3-syzygium_armstrongii",100,24.255,35.935,2.78,67.4289,1.82884607488016,2,0.444044795918076,1.38480127896208,1.55551764919277,"Northern Territory"
"dph","2016-08-10","syzygium_armstrongii","sa_3","sa_3-syzygium_armstrongii",100,31.33,45.555,2.84,88.9772,1.94927873492874,2,0.453318340047038,1.49596039488171,1.65853605097395,"Northern Territory"
"dph","2016-08-10","syzygium_armstrongii","sa_3","sa_3-syzygium_armstrongii",100,36.285,51.105,3.126,113.42691,2.05471610110073,2,0.494988973683168,1.55972712741756,1.70846339262356,"Northern Territory"
"dph","2016-08-10","syzygium_armstrongii","sa_3","sa_3-syzygium_armstrongii",100,42.895,58.42,2.85,122.25075,2.08725153217081,2,0.45484486000851,1.6324066721623,1.76656155263753,"Northern Territory"
"dph","2016-08-10","syzygium_armstrongii","sa_3","sa_3-syzygium_armstrongii",100,34.96,46.025,2.989,104.49544,2.01909733900165,2,0.475525915039281,1.54357142396237,1.66299379717605,"Northern Territory"
"dph","2016-08-10","syzygium_armstrongii","sa_3","sa_3-syzygium_armstrongii",100,37.705,48.745,2.72,102.5576,2.01096784915844,2,0.434568904034199,1.57639894512424,1.68793007472636,"Northern Territory"
"dph","2016-08-10","syzygium_armstrongii","sa_3","sa_3-syzygium_armstrongii",100,40.155,52.915,2.882,115.72671,2.06343360672058,2,0.45969397647797,1.60373963024261,1.72357880046258,"Northern Territory"
"dph","2016-08-10","syzygium_armstrongii","sa_3","sa_3-syzygium_armstrongii",100,37.25,52.74,2.84,105.79,2.02444461713135,2,0.453318340047038,1.57112627708431,1.72214012545742,"Northern Territory"
"dph","2016-08-10","syzygium_armstrongii","sa_3","sa_3-syzygium_armstrongii",100,39.755,51.35,3.12,124.0356,2.0935463518122,2,0.494154594018443,1.59939175779376,1.7105404479333,"Northern Territory"
