"species","nursery","volume","sla_tree.mean","sla_tree.se","climate_region","genus_species","variety","origin","leaf_type"
"eucalyptus_sideroxylon_rosea","ellenby tree farm",400,30.43690403375,1.35731557738492,"Western Australia","eucalyptus_sideroxylon","rosea","native","evergreen"
"eucalyptus_sideroxylon_rosea","mt william",45,48.961646195994,1.08117397533788,"Victoria","eucalyptus_sideroxylon","rosea","native","evergreen"
"eucalyptus_tereticornis","greenstock",27,71.9586846643125,2.44184127993512,"Queensland","eucalyptus_tereticornis",NA,"native","evergreen"
"eucalyptus_torquata","mt william",45,41.0870011569683,1.04211665732358,"Victoria","eucalyptus_torquata",NA,"native","evergreen"
"eucalyptus_torquata","mt william",45,41.0870011569683,1.04211665732358,"Victoria","eucalyptus_torquata",NA,"native","evergreen"
"eucalyptus_victrix","benara",90,34.4510530709293,1.03229599845,"Western Australia","eucalyptus_victrix",NA,"native","evergreen"
"eucalyptus_victrix","ellenby tree farm",150,37.2921576101698,1.57537407501176,"Western Australia","eucalyptus_victrix",NA,"native","evergreen"
"eucalyptus_victrix","benara",30,35.4889826859973,1.86823231495663,"Western Australia","eucalyptus_victrix",NA,"native","evergreen"
"eucalyptus_victrix","ellenby tree farm",1000,37.4858566209122,2.51543809916918,"Western Australia","eucalyptus_victrix",NA,"native","evergreen"
"eucalyptus_victrix","ellenby tree farm",400,38.9370650924523,1.95667825686968,"Western Australia","eucalyptus_victrix",NA,"native","evergreen"
"ficus_benghalensis","darwin plant wholesalers",500,96.98172785345,NA,"Northern Territory","ficus_benghalensis",NA,"non-native","evergreen"
"ficus_benghalensis","darwin plant wholesalers",300,78.2026470661664,1.15268780024075,"Northern Territory","ficus_benghalensis",NA,"non-native","evergreen"
"ficus_benjamina","plants direct",200,106.09207311866,4.08573240922338,"Queensland","ficus_benjamina",NA,"non-native","evergreen"
"ficus_benjamina","darwin plant wholesalers",100,104.845238095238,NA,"Northern Territory","ficus_benjamina",NA,"non-native","evergreen"
"ficus_benjamina","darwin plant wholesalers",200,107.509444939592,23.1979971043949,"Northern Territory","ficus_benjamina",NA,"non-native","evergreen"
"ficus_macrophylla","darwin plant wholesalers",300,87.044846168903,4.33256466399987,"Northern Territory","ficus_macrophylla",NA,"native","evergreen"
"ficus_microcarpa_hillii","plants direct",400,69.0267885844574,2.28971379093148,"Queensland","ficus_microcarpa","hillii","native","evergreen"
"ficus_microcarpa_hillii","logans",2000,77.5370721482124,2.99087058143198,"Queensland","ficus_microcarpa","hillii","native","evergreen"
"ficus_microcarpa_hillii","logans",3000,68.0912785333981,2.56310602686206,"Queensland","ficus_microcarpa","hillii","native","evergreen"
"ficus_microcarpa_hillii","logans",400,75.8199959344568,1.98752278689381,"Queensland","ficus_microcarpa","hillii","native","evergreen"
"ficus_microcarpa_hillii","plants direct",45,101.05513034698,2.54164468811698,"Queensland","ficus_microcarpa","hillii","native","evergreen"
"ficus_microcarpa_hillii","logans",1000,79.0505188944739,2.20481927763448,"Queensland","ficus_microcarpa","hillii","native","evergreen"
"ficus_microcarpa_hillii","greenstock",200,78.5454786566919,5.41688827463646,"Queensland","ficus_microcarpa","hillii","native","evergreen"
"ficus_microcarpa_hilliiflash","pallara",100,83.1060390776944,2.57208659067969,"Queensland","ficus_microcarpa","hilliiflash","native","evergreen"
"ficus_microcarpa_hilliiflash","trees impact",1500,74.9801610772132,4.71946589533951,"New South Wales","ficus_microcarpa","hilliiflash","native","evergreen"
"ficus_microcarpa_hilliiflash","established tree transplanters",500,91.1909869771283,4.3430022147666,"Victoria","ficus_microcarpa","hilliiflash","native","evergreen"
"ficus_microcarpa_hilliiflash","speciality",100,90.6281478925309,7.67238777006065,"Victoria","ficus_microcarpa","hilliiflash","native","evergreen"
"ficus_microcarpa_hilliiflash","pallara",45,67.488483136782,2.60981739098207,"Queensland","ficus_microcarpa","hilliiflash","native","evergreen"
